"","package_name","package_version","package_title"
"1","A3","1.0.0","Accurate, Adaptable, and Accessible Error Metrics for Predictive
Models"
"2","abbyyR","0.5.1","Access to Abbyy Optical Character Recognition (OCR) API"
"3","abc","2.1","Tools for Approximate Bayesian Computation (ABC)"
"4","abc.data","1.0","Data Only: Tools for Approximate Bayesian Computation (ABC)"
"5","ABC.RAP","0.9.0","Array Based CpG Region Analysis Pipeline"
"6","ABCanalysis","1.2.1","Computed ABC Analysis"
"7","abcdeFBA","0.4","ABCDE_FBA: A-Biologist-Can-Do-Everything of Flux Balance<U+000a>Analysis with this package."
"8","ABCoptim","0.15.0","Implementation of Artificial Bee Colony (ABC) Optimization"
"9","ABCp2","1.2","Approximate Bayesian Computational Model for Estimating P2"
"10","abcrf","1.7","Approximate Bayesian Computation via Random Forests"
"11","abctools","1.1.1","Tools for ABC Analyses"
"12","abd","0.2-8","The Analysis of Biological Data"
"13","abe","3.0.1","Augmented Backward Elimination"
"14","abf2","0.7-1","Load Gap-Free Axon ABF2 Files"
"15","ABHgenotypeR","1.0.1","Easy Visualization of ABH Genotypes"
"16","abind","1.4-5","Combine Multidimensional Arrays"
"17","abjutils","0.0.1","Useful Tools for Jurimetrical Analysis Used by the Brazilian
Jurimetrics Association"
"18","abn","1.0.2","Modelling Multivariate Data with Additive Bayesian Networks"
"19","abodOutlier","0.1","Angle-Based Outlier Detection"
"20","ABPS","0.1","The Abnormal Blood Profile Score to Detect Blood Doping"
"21","AbsFilterGSEA","1.5.1","Improved False Positive Control of Gene-Permuting GSEA with
Absolute Filtering"
"22","AbSim","0.2.4","Time Resolved Simulations of Antibody Repertoires"
"23","abundant","1.1","High-Dimensional Principal Fitted Components and Abundant
Regression"
"24","ACA","1.0","Abrupt Change-Point or Aberration Detection in Point Series"
"25","acc","1.3.3","Exploring Accelerometer Data"
"26","accelerometry","2.2.5","Functions for Processing Minute-to-Minute Accelerometer Data"
"27","accelmissing","1.1","Missing Value Imputation for Accelerometer Data"
"28","AcceptanceSampling","1.0-5","Creation and Evaluation of Acceptance Sampling Plans"
"29","ACCLMA","1.0","ACC & LMA Graph Plotting"
"30","accrual","1.3","Bayesian Accrual Prediction"
"31","accrued","1.4.1","Data Quality Visualization Tools for Partially Accruing Data"
"32","accSDA","1.0.0","Accelerated Sparse Discriminant Analysis"
"33","ACD","1.5.3","Categorical data analysis with complete or missing responses"
"34","ACDm","1.0.4","Tools for Autoregressive Conditional Duration Models"
"35","acebayes","1.4.1","Optimal Bayesian Experimental Design using the ACE Algorithm"
"36","acepack","1.4.1","ACE and AVAS for Selecting Multiple Regression Transformations"
"37","ACEt","1.8.0","Estimating Dynamic Heritability and Twin Model Comparison"
"38","acid","1.1","Analysing Conditional Income Distributions"
"39","acm4r","1.0","Align-and-Count Method comparisons of RFLP data"
"40","ACMEeqtl","1.4","Estimation of Interpretable eQTL Effect Sizes Using a Log of
Linear Model"
"41","acmeR","1.1.0","Implements ACME Estimator of Bird and Bat Mortality by Wind
Turbines"
"42","ACNE","0.8.1","Affymetrix SNP Probe-Summarization using Non-Negative Matrix
Factorization"
"43","acnr","1.0.0","Annotated Copy-Number Regions"
"44","acopula","0.9.2","Modelling dependence with multivariate Archimax (or any<U+000a>user-defined continuous) copulas."
"45","AcousticNDLCodeR","1.0.1","Coding Sound Files for Use with NDL"
"46","acp","2.1","Autoregressive Conditional Poisson"
"47","aCRM","0.1.1","Convenience functions for analytical Customer Relationship<U+000a>Management"
"48","AcrossTic","1.0-3","A Cost-Minimal Regular Spanning Subgraph with TreeClust"
"49","acrt","1.0.1","Autocorrelation Robust Testing"
"50","acs","2.1.2","Download, Manipulate, and Present American Community Survey and
Decennial Data from the US Census"
"51","ACSNMineR","0.16.8.25","Gene Enrichment Analysis from ACSN Maps or GMT Files"
"52","acss","0.2-5","Algorithmic Complexity for Short Strings"
"53","acss.data","1.0","Data Only: Algorithmic Complexity of Short Strings (Computed via<U+000a>Coding Theorem Method)"
"54","ACSWR","1.0","A Companion Package for the Book ""A Course in Statistics with R"""
"55","ACTCD","1.1-0","Asymptotic Classification Theory for Cognitive Diagnosis"
"56","Actigraphy","1.3.2","Actigraphy Data Analysis"
"57","ActiveDriver","1.0.0","Finding Cancer Driver Proteins with Enriched Mutations in
Post-Translational Modification Sites"
"58","activity","1.1","Animal Activity Statistics"
"59","activpalProcessing","1.0.2","Process activPAL Events Files"
"60","actogrammr","0.2.3","Read in Activity Data and Plot Actograms"
"61","actuar","2.1-1","Actuarial Functions and Heavy Tailed Distributions"
"62","AcuityView","0.1","A Package for Displaying Visual Scenes as They May Appear to an
Animal with Lower Acuity"
"63","ada","2.0-5","The R Package Ada for Stochastic Boosting"
"64","adabag","4.1","Applies Multiclass AdaBoost.M1, SAMME and Bagging"
"65","adagio","0.6.5","Discrete and Global Optimization Routines"
"66","AdapEnetClass","1.2","A Class of Adaptive Elastic Net Methods for Censored Data"
"67","adapr","2.0.0","Implementation of an Accountable Data Analysis Process"
"68","AdapSamp","1.0","Adaptive Sampling Algorithms"
"69","adaptDA","1.0","Adaptive Mixture Discriminant Analysis"
"70","AdaptFit","0.2-2","Adaptive Semiparametic Regression"
"71","AdaptFitOS","0.65","Adaptive Semiparametric Regression with Simultaneous Confidence
Bands"
"72","AdaptGauss","1.3.3","Gaussian Mixture Models (GMM)"
"73","adaptiveGPCA","0.1.1","Adaptive Generalized PCA"
"74","AdaptiveSparsity","1.4","Adaptive Sparsity Models"
"75","adaptivetau","2.2-1","Tau-Leaping Stochastic Simulation"
"76","adaptMCMC","1.2","Implementation of a Generic Adaptive Monte Carlo Markov Chain
Sampler"
"77","adaptsmoFMRI","1.1","Adaptive Smoothing of FMRI Data"
"78","adaptTest","1.0","Adaptive two-stage tests"
"79","ADCT","0.1.0","Adaptive Design in Clinical Trials"
"80","addhaz","0.4","Binomial and Multinomial Additive Hazards Models"
"81","addhazard","1.1.0","Fit Additive Hazards Models for Survival Analysis"
"82","addinslist","0.2","Discover and Install Useful RStudio Addins"
"83","additiveDEA","1.1","Additive Data Envelopment Analysis Models"
"84","additivityTests","1.1-4","Additivity Tests in the Two Way Anova with Single Sub-class
Numbers"
"85","addreg","3.0","Additive Regression for Discrete Data"
"86","ADDT","2.0","Analysis of Accelerated Destructive Degradation Test Data"
"87","ade4","1.7-10","Analysis of Ecological Data: Exploratory and Euclidean Methods
in Environmental Sciences"
"88","ade4TkGUI","0.2-9","'ade4' Tcl/Tk Graphical User Interface"
"89","adeba","1.0.2","Adaptive Density Estimation by Bayesian Averaging"
"90","adegenet","2.1.0","Exploratory Analysis of Genetic and Genomic Data"
"91","adegraphics","1.0-9","An S4 Lattice-Based Package for the Representation of
Multivariate Data"
"92","adehabitat","1.8.19","Analysis of Habitat Selection by Animals"
"93","adehabitatHR","0.4.15","Home Range Estimation"
"94","adehabitatHS","0.3.13","Analysis of Habitat Selection by Animals"
"95","adehabitatLT","0.3.22","Analysis of Animal Movements"
"96","adehabitatMA","0.3.12","Tools to Deal with Raster Maps"
"97","adephylo","1.1-11","Exploratory Analyses for the Phylogenetic Comparative Method"
"98","adepro","0.1.0","A Shiny Application for the (Audio-)Visualization of Adverse
Event Profiles"
"99","AdequacyModel","2.0.0","Adequacy of Probabilistic Models and General Purpose
Optimization"
"100","adespatial","0.1-0","Multivariate Multiscale Spatial Analysis"
"101","adfExplorer","0.1.2","Import from and Export to Amiga Disk Files"
"102","ADGofTest","0.3","Anderson-Darling GoF test"
"103","AdhereR","0.1.0","Adherence to Medications"
"104","adhoc","1.1","Calculate Ad Hoc Distance Thresholds for DNA Barcoding
Identification"
"105","adimpro","0.8.2","Adaptive Smoothing of Digital Images"
"106","adiv","1.1","Analysis of Diversity"
"107","AdjBQR","1.0","Adjusted Bayesian Quantile Regression Inference"
"108","adjclust","0.5.2","Adjacency-Constrained Clustering of a Block-Diagonal Similarity
Matrix"
"109","adjustedcranlogs","0.1.0","Remove Automated and Repeated Downloads from 'RStudio' 'CRAN'
Download Logs"
"110","adlift","1.3-3","An Adaptive Lifting Scheme Algorithm"
"111","ADM3","1.3","An Interpretation of the ADM method - automated detection<U+000a>algorithm."
"112","AdMit","2.1.3","Adaptive Mixture of Student-t Distributions"
"113","admixturegraph","1.0.2","Admixture Graph Manipulation and Fitting"
"114","ADMM","0.1.1","Algorithms using Alternating Direction Method of Multipliers"
"115","ADMMnet","0.1","Regularized Model with Selecting the Number of Non-Zeros"
"116","ADPclust","0.7","Fast Clustering Using Adaptive Density Peak Detection"
"117","ADPF","0.0.1","Use Least Squares Polynomial Regression and Statistical Testing
to Improve Savitzky-Golay"
"118","ads","1.5-2.2","Spatial point patterns analysis"
"119","AdvBinomApps","1.0","Upper Clopper-Pearson Confidence Limits for Burn-in Studies
under Additional Available Information"
"120","advclust","0.4","Object Oriented Advanced Clustering"
"121","adwave","1.2","Wavelet Analysis of Genomic Data from Admixed Populations"
"122","AEDForecasting","0.20.0","Change Point Analysis in ARIMA Forecasting"
"123","aemo","0.2.0","Download and Process AEMO Price and Demand Data"
"124","AER","1.2-5","Applied Econometrics with R"
"125","AF","0.1.4","Model-Based Estimation of Confounder-Adjusted Attributable
Fractions"
"126","afc","1.4.0","Generalized Discrimination Score"
"127","afCEC","1.0.0","Active Function Cross-Entropy Clustering"
"128","afex","0.18-0","Analysis of Factorial Experiments"
"129","affluenceIndex","1.0","Affluence Indices"
"130","AFLPsim","0.4-2","Hybrid Simulation and Genome Scan for Dominant Markers"
"131","AFM","1.2.2","Atomic Force Microscope Image Analysis"
"132","afmToolkit","0.0.1","Functions for Atomic Force Microscope Force-Distance Curves
Analysis"
"133","afpt","1.0.0","Tools for Modelling of Animal Flight Performance"
"134","aftgee","1.0-0","Accelerated Failure Time Model with Generalized Estimating<U+000a>Equations"
"135","AGD","0.35","Analysis of Growth Data"
"136","AggregateR","0.0.2","Aggregate Numeric, Date and Categorical Variables by an ID"
"137","aggregation","1.0","p-Value Aggregation Methods"
"138","agop","0.1-4","Aggregation Operators and Preordered Sets"
"139","agRee","0.5-0","Various Methods for Measuring Agreement"
"140","Agreement","0.8-1","Statistical Tools for Measuring Agreement"
"141","agricolae","1.2-8","Statistical Procedures for Agricultural Research"
"142","agridat","1.13","Agricultural Datasets"
"143","agrmt","1.40.4","Calculate Agreement or Consensus in Ordered Rating Scales"
"144","AGSDest","2.3.1","Estimation in Adaptive Group Sequential Trials"
"145","agsemisc","1.3-1","Miscellaneous plotting and utility functions"
"146","ahaz","1.14","Regularization for semiparametric additive hazards regression"
"147","AHMbook","0.1.4","Functions and Data for the Book 'Applied Hierarchical Modeling
in Ecology'"
"148","ahnr","0.2.0","An Implementation of the Artificial Hydrocarbon Networks"
"149","AhoCorasickTrie","0.1.0","Fast Searching for Multiple Keywords in Multiple Texts"
"150","ahp","0.2.11","Analytic Hierarchy Process"
"151","AHR","1.4.2","Estimation and Testing of Average Hazard Ratios"
"152","AICcmodavg","2.1-1","Model Selection and Multimodel Inference Based on (Q)AIC(c)"
"153","AID","2.3","Box-Cox Power Transformation"
"154","aidar","1.0.0","Tools for reading AIDA (http://aida.freehep.org/) files into R"
"155","AIG","0.1.8","Automatic Item Generator"
"156","AIM","1.01","AIM: adaptive index model"
"157","aimPlot","1.0.0","Create Pie Like Plot for Completeness"
"158","aire.zmvm","0.5.0","Download Mexico City Pollution, Wind, and Temperature Data"
"159","airGR","1.0.9.64","Suite of GR Hydrological Models for Precipitation-Runoff
Modelling"
"160","aiRthermo","1.1","Atmospheric Thermodynamics and Visualization"
"161","ajv","1.0.0","Another JSON Schema Validator"
"162","Ake","1.0","Associated Kernel Estimations"
"163","akima","0.6-2","Interpolation of Irregularly and Regularly Spaced Data"
"164","akmeans","1.1","Adaptive Kmeans algorithm based on threshold"
"165","ALA4R","1.5.6","Atlas of Living Australia (ALA) Data and Resources in R"
"166","alabama","2015.3-1","Constrained Nonlinear Optimization"
"167","alakazam","0.2.8","Immunoglobulin Clonal Lineage and Diversity Analysis"
"168","ald","1.1","The Asymmetric Laplace Distribution"
"169","ALDqr","1.0","Quantile Regression Using Asymmetric Laplace Distribution"
"170","ALEPlot","1.0","Accumulated Local Effects (ALE) Plots and Partial Dependence
(PD) Plots"
"171","aLFQ","1.3.4","Estimating Absolute Protein Quantities from Label-Free LC-MS/MS
Proteomics Data"
"172","alfred","0.1.4","Downloading Time Series from ALFRED Database for Various
Vintages"
"173","AlgDesign","1.1-7.3","Algorithmic Experimental Design"
"174","AlgebraicHaploPackage","1.2","Haplotype Two Snips Out of a Paired Group of Patients"
"175","algorithmia","0.0.2","Allows you to Easily Interact with the Algorithmia Platform"
"176","algstat","0.0.2","Algebraic statistics in R"
"177","AlignStat","1.3.1","Comparison of Alternative Multiple Sequence Alignments"
"178","alineR","1.1.4","Alignment of Phonetic Sequences Using the 'ALINE' Algorithm"
"179","ALKr","0.5.3.1","Generate Age-Length Keys for fish populations"
"180","allan","1.01","Automated Large Linear Analysis Node"
"181","allanvar","1.1","Allan Variance Analysis"
"182","alleHap","0.9.9","Allele Imputation and Haplotype Reconstruction from Pedigree
Databases"
"183","allelematch","2.5","Identifying unique multilocus genotypes where genotyping error<U+000a>and missing data may be present"
"184","AlleleRetain","1.3.4","Allele Retention, Inbreeding, and Demography"
"185","allelic","0.1","A fast, unbiased and exact allelic exact test"
"186","AllPossibleSpellings","1.1","Computes all of a word's possible spellings."
"187","alluvial","0.1-2","Alluvial Diagrams"
"188","alphabetr","0.2.2","Algorithms for High-Throughput Sequencing of Antigen-Specific T
Cells"
"189","alphahull","2.1","Generalization of the Convex Hull of a Sample of Points in the
Plane"
"190","alphaOutlier","1.2.0","Obtain Alpha-Outlier Regions for Well-Known Probability
Distributions"
"191","alphashape3d","1.3","Implementation of the 3D Alpha-Shape for the Reconstruction of
3D Sets from a Point Cloud"
"192","AlphaVantageClient","0.0.1","Wrapper for Alpha Vantage API"
"193","alphavantager","0.1.0","Lightweight R Interface to the Alpha Vantage API"
"194","alr3","2.0.5","Data to accompany Applied Linear Regression 3rd edition"
"195","alr4","1.0.5","Data to accompany Applied Linear Regression 4rd edition"
"196","ALS","0.0.6","Multivariate Curve Resolution Alternating Least Squares
(MCR-ALS)"
"197","ALSCPC","1.0","Accelerated line search algorithm for simultaneous orthogonal<U+000a>transformation of several positive definite symmetric matrices<U+000a>to nearly diagonal form."
"198","ALSM","0.2.0","Companion to Applied Linear Statistical Models"
"199","alterryx","0.3.0","An 'API' Client for the 'Alteryx' Gallery"
"200","altmeta","2.2","Alternative Meta-Analysis Methods"
"201","ALTopt","0.1.1","Optimal Experimental Designs for Accelerated Life Testing"
"202","amap","0.8-14","Another Multidimensional Analysis Package"
"203","AMAP.Seq","1.0","Compare Gene Expressions from 2-Treatment RNA-Seq Experiments"
"204","ambhasGW","0.0.2","Ground Water Modelling"
"205","AMCP","0.0.4","A Model Comparison Perspective"
"206","AMCTestmakeR","0.1.0","Generate LaTeX Code for Auto-Multiple-Choice (AMC)"
